#ITERATION,POSITION
0,2.0
1,1.6315655935662816
2,2.3994463168834796
3,2.308947971668913
4,2.1376640295825364
5,2.1511221223521417
6,1.5701268982768735
7,0.7235951153530489
8,1.0028578867721611
9,-0.22839456272195857
10,-1.1695752086938431
11,-0.4954349426186849
12,-0.45395896365130406
13,1.091244646341302
14,2.3861608241228764
15,2.52750725241468
16,1.3717319639928587
17,0.04461916570675073
18,0.8805944959364791
19,0.49763102189765634
20,0.7278665518329079
21,-0.6669344174776646
22,-0.2368523525744724
23,-1.1109367131851169
24,-0.2735629360568098
25,0.015381067650982794
26,-0.8347452841630107
27,-2.5752476500733374
28,-3.1782745443834157
29,-4.163064673283576
30,-3.1597562520325466
31,-2.5342491983614828
32,-3.4452416987984904
33,-4.898007566809461
34,-5.960790267535533
35,-4.939928616147102
36,-5.215544955951086
37,-4.692523784050836
38,-5.2735820162795575
39,-6.325669437750772
40,-5.681966529706655
41,-5.843940712427163
42,-5.10524725577313
43,-6.445347167435036
44,-6.700834603316318
45,-6.476504582842421
46,-5.964434500687987
47,-6.679634659680342
48,-5.972477099264269
49,-5.2486271799993185
50,-4.074760211012274
51,-4.492867400398924
52,-3.6197102054809362
53,-4.429995816491156
54,-4.841985685753939
55,-5.774137262286936
56,-6.824755405921239
57,-6.773075199379202
58,-7.837200971042587
59,-7.939622402488413
60,-10.242581097627678
61,-11.484357118043961
62,-11.859399762368858
63,-12.40106199870235
64,-11.995869561060157
65,-12.051437728097167
66,-13.093477508390022
67,-14.486188616389153
68,-14.771119278001954
69,-15.210869255746676
70,-15.648206188821836
71,-16.736544375783016
72,-15.521776966817079
73,-15.994162717261974
74,-14.942731529537214
75,-14.86437831219903
76,-15.328179164512981
77,-14.804742731909437
78,-14.48711467681441
79,-13.937526285787001
80,-13.23242748175209
81,-14.411035505281006
82,-15.736011991341972
83,-15.083064145575191
84,-15.333002394554132
85,-17.492803284409764
86,-18.63918115229446
87,-17.07557953927583
88,-15.119173463530753
89,-14.821689134054882
90,-15.69378496348616
91,-15.774448986672635
92,-16.3764123055835
93,-14.080023828330653
94,-14.352460607682296
95,-16.02827376067688
96,-15.70273651419487
97,-14.382457127408697
98,-13.336742517980507
99,-13.626385337496068
100,-11.915227672652552
101,-13.553285982840181
102,-15.361316009063676
103,-15.249332354194323
104,-18.090137792003453
105,-19.110852297690816
106,-18.48865361550035
107,-16.93719454762954
108,-17.054475201170984
109,-16.340209584881837
110,-15.443408293979806
111,-16.03264151879352
112,-15.41927832701665
113,-15.260422958852308
114,-16.235155149484218
